,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
302, Hyundai,2013,Verna,28.69k,Petrol,Manual,"11,293"," Seawood
",3.40 lakh
303, Hyundai,2013,Grand,86.81k,Petrol,Manual,"9,964"," Mulund West, Mumbai 
",3.00 lakh
304, Hyundai,2013,i20,286.20k,CNG,Manual,"27,721"," Seawood
",3.12 lakh
305, Maruti,2013,Swift,66.66k,Petrol,Manual,"10,463"," Kandivali, Mumbai",3.15 lakh
306, Hyundai,2013,i20,52.04k,Diesel,Manual,"16,099"," Goregaon, Mumbai",3.42 lakh
307, Maruti,2013,Wagon,28.91k,CNG,Manual,"23,989"," Goregaon, Mumbai",2.70 lakh
308, Maruti,2013,Ertiga,35.46k,Diesel,Manual,"25,608"," Goregaon, Mumbai",5.44 lakh
309, Hyundai,2013,i20,223.56k,Petrol,Manual,"9,821"," Seawood
",2.96 lakh
310, Maruti,2014,Wagon,76.48k,Petrol,Manual,"6,741"," Goregaon, Mumbai",2.56 lakh
311, Volkswagen,2014,Polo,97.25k,Petrol,Manual,"6,715"," Kandivali, Mumbai",2.55 lakh
312, Maruti,2014,Alto,30.59k,Petrol,Manual,"5,082"," Mulund West, Mumbai 
",1.93 lakh
313, Maruti,2014,Swift,29.05k,Petrol,Manual,"9,612"," Kandivali, Mumbai",3.65 lakh
314, Maruti,2014,Wagon,46.36k,Petrol,Manual,"6,715"," Mulund West, Mumbai 
",2.55 lakh
315, Maruti,2014,Swift,99.06k,Petrol,Manual,"8,894"," Kandivali, Mumbai",3.38 lakh
316, Volkswagen,2014,Polo,78.31k,Petrol,Manual,"8,295"," Kandivali, Mumbai",3.15 lakh
317, Toyota,2014,Etios,46.39k,Petrol,Manual,"8,558"," Mulund West, Mumbai 
",3.25 lakh
318, Toyota,2014,Etios,63.64k,Petrol,Manual,"6,583"," Kandivali, Mumbai",2.50 lakh
319, Maruti,2014,Ertiga,41.47k,CNG,Manual,"24,243"," Kandivali, Mumbai",5.15 lakh
320, Hyundai,2011,i10,258.68k,Petrol,Manual,"18,925"," Bachupally, Hyderabad",2.13 lakh
